legacy_query_id,original_distance_matrix,original_coalition_csv,verified_coalition_rows,match_method,purpose,embedding_model_in_source,embedding_dimensions_in_source,embedded_text_in_source,generating_source,matrix_shape
10,others/output/individual_matrices/query_10_distance_matrix.npy,code and data/shapley_final/Shapley_effectiveness of the product_nail_aid .csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
11,others/output/individual_matrices/query_11_distance_matrix.npy,code and data/shapley_final/Shapley_effectiveness of the product_tint_Kit.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
12,others/output/individual_matrices/query_12_distance_matrix.npy,code and data/shapley_final/Shapley_texture of the product_hair_styling_agent.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
13,others/output/individual_matrices/query_13_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_blemish_formula.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
14,others/output/individual_matrices/query_14_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Bath_Wash.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
15,others/output/individual_matrices/query_15_distance_matrix.npy,code and data/shapley_final/Shapley_softness of the product_hair_brush.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
16,others/output/individual_matrices/query_16_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_hair_brush.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
17,others/output/individual_matrices/query_17_distance_matrix.npy,code and data/shapley_final/Shapley_the quality of the product_headset.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
18,others/output/individual_matrices/query_18_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_hair_curler.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
19,others/output/individual_matrices/query_19_distance_matrix.npy,code and data/shapley_final/Shapley_unresponsiveness of the product_switch.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
20,others/output/individual_matrices/query_20_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Tone_Cable.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
21,others/output/individual_matrices/query_21_distance_matrix.npy,code and data/shapley_final/Shapley_speed of the product_hair_curler.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
22,others/output/individual_matrices/query_22_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_nail_polish.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
23,others/output/individual_matrices/query_23_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Makeup_brushes.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
24,others/output/individual_matrices/query_24_distance_matrix.npy,code and data/shapley_final/Shapley_beauty of the product_Crystal_Crowns.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
25,others/output/individual_matrices/query_25_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Massager_Scalp .csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
26,others/output/individual_matrices/query_26_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Hair_Diffuser.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
27,others/output/individual_matrices/query_27_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Crystal_Crowns.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
28,others/output/individual_matrices/query_28_distance_matrix.npy,code and data/shapley_final/Shapley_travelability of the product_Hair_Diffuser.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
29,others/output/individual_matrices/query_29_distance_matrix.npy,code and data/shapley_final/Shapley_effectiveness of the product_blemish_formula.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
30,others/output/individual_matrices/query_30_distance_matrix.npy,code and data/shapley_final/Shapley_effectiveness of the product_dental_tool.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
31,others/output/individual_matrices/query_31_distance_matrix.npy,code and data/shapley_final/Shapley_smell of the product_Makeup_brushes.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
32,others/output/individual_matrices/query_32_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Gauge_Gear .csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
33,others/output/individual_matrices/query_33_distance_matrix.npy,code and data/shapley_final/Shapley_the quality of the product_switch.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
34,others/output/individual_matrices/query_34_distance_matrix.npy,code and data/shapley_final/Shapley_noise level of the product_Tone_Cable.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
35,others/output/individual_matrices/query_35_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_tint_Kit.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
36,others/output/individual_matrices/query_36_distance_matrix.npy,code and data/shapley_final/Shapley_graphics quality of the product_PS5.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
37,others/output/individual_matrices/query_37_distance_matrix.npy,code and data/shapley_final/Shapley_durability of the product_nail_polish.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
38,others/output/individual_matrices/query_38_distance_matrix.npy,code and data/shapley_final/Shapley_the quality of the product_PS5.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
39,others/output/individual_matrices/query_39_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_headbands.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
40,others/output/individual_matrices/query_40_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_nail_aid .csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
41,others/output/individual_matrices/query_41_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_mannequin.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
42,others/output/individual_matrices/query_42_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_hair_styling_agent.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
43,others/output/individual_matrices/query_43_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_Super_Mario_3D.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
44,others/output/individual_matrices/query_44_distance_matrix.npy,code and data/shapley_final/Shapley_the product sucks_gift_card.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
45,others/output/individual_matrices/query_45_distance_matrix.npy,code and data/shapley_final/Shapley_skin softness of the product_Bath_Wash.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
46,others/output/individual_matrices/query_46_distance_matrix.npy,code and data/shapley_final/Shapley_cleanliness of the product_Facial_Wipe.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
47,others/output/individual_matrices/query_47_distance_matrix.npy,code and data/shapley_final/Shapley_delivery speed of the product_gift_card.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
